
2024/09/15 (16:05:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/16 (14:51:12) | ===> btop++ v.1.3.2
2024/09/16 (14:51:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/16 (14:51:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/16 (21:29:22) | ===> btop++ v.1.3.2
2024/09/16 (21:29:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/16 (21:29:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/19 (11:12:31) | ===> btop++ v.1.3.2
2024/09/19 (11:12:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/19 (11:12:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/23 (11:02:35) | ===> btop++ v.1.3.2
2024/09/23 (11:02:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/23 (11:02:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/25 (12:20:30) | ===> btop++ v.1.4.0
2024/09/25 (12:20:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (12:20:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/25 (12:20:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (12:24:02) | ===> btop++ v.1.4.0
2024/09/25 (12:24:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (12:24:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/25 (12:24:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (12:24:54) | ===> btop++ v.1.4.0
2024/09/25 (12:24:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (12:24:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/25 (12:24:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (18:07:57) | ===> btop++ v.1.4.0
2024/09/25 (18:07:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (18:07:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/25 (18:07:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (12:51:34) | ===> btop++ v.1.4.0
2024/09/26 (12:51:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (12:51:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/26 (12:51:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (17:55:05) | ===> btop++ v.1.4.0
2024/09/26 (17:55:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (17:55:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/26 (17:55:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (17:55:11) | ===> btop++ v.1.4.0
2024/09/26 (17:55:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (17:55:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/26 (17:55:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (13:22:18) | ===> btop++ v.1.4.0
2024/09/30 (13:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (13:22:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/30 (13:22:18) | WARNING: Intel GPU: Failed to initialize PMU

